day,n_i,L1,L2,L3,L4
166,2569,0.115392,-0.902459,0.373062,-0.319814,
167,2585,0.070635,-0.936157,0.381546,-0.311989,
168,2590,0.0651394,-0.945419,0.38065,-0.311029,
169,2601,0.0679509,-0.941762,0.38095,-0.311583,
170,2597,0.0661038,-0.944903,0.37962,-0.313876,
171,2589,0.0696808,-0.936285,0.382726,-0.31082,
172,2594,0.1106,-0.911686,0.371663,-0.320802,
173,2598,0.11093,-0.911138,0.372128,-0.319909,
174,2607,0.0701201,-0.938178,0.381026,-0.311696,
175,2611,0.0708296,-0.932923,0.385744,-0.30612,
176,2616,0.0707587,-0.934281,0.385057,-0.306836,
177,2614,0.0701608,-0.934069,0.385398,-0.307555,
178,2610,0.0757227,-0.919334,0.39316,-0.298835,
179,2350,0.141616,-0.848186,0.389163,-0.304267,
180,2359,0.138723,-0.850902,0.388719,-0.304275,
181,2364,0.100099,-0.875096,0.394029,-0.305074,
182,2371,0.0975571,-0.880091,0.39209,-0.307134,
183,2387,0.0911812,-0.895086,0.388162,-0.309286,
184,2390,0.0888469,-0.899143,0.386565,-0.310654,
185,2393,0.0925349,-0.894541,0.387809,-0.30808,
186,2388,0.132775,-0.867874,0.381725,-0.308681,
187,2392,0.134135,-0.866394,0.381151,-0.310193,
188,2403,0.0895842,-0.901109,0.384497,-0.313968,
189,2400,0.0864214,-0.903925,0.385239,-0.312579,
190,2393,0.0878151,-0.901153,0.38636,-0.312558,
191,2395,0.0921522,-0.896193,0.385241,-0.31529,
192,2388,0.092916,-0.891911,0.389647,-0.308411,
193,2392,0.133535,-0.868899,0.375658,-0.322671,
194,2392,0.129865,-0.874946,0.374495,-0.322922,
195,2401,0.0911953,-0.899164,0.382201,-0.319131,
196,2406,0.0867854,-0.905508,0.383035,-0.316484,
197,2413,0.083879,-0.911645,0.382381,-0.316282,
198,2410,0.0795522,-0.92053,0.379497,-0.318866,
199,2410,0.0862359,-0.906398,0.384143,-0.313547,
200,2404,0.124129,-0.88599,0.372995,-0.321789,
201,2396,0.127501,-0.879064,0.373696,-0.323265,
202,2401,0.0876084,-0.903755,0.381543,-0.318515,
203,2394,0.0888748,-0.896987,0.386236,-0.314168,
204,2403,0.088296,-0.899174,0.38467,-0.316372,
205,2409,0.0848933,-0.906243,0.383774,-0.316106,
206,2407,0.0879693,-0.899968,0.386866,-0.311038,
207,2406,0.125566,-0.879892,0.376007,-0.319402,
208,2397,0.125053,-0.878616,0.376766,-0.320182,
209,2408,0.0844227,-0.908055,0.382204,-0.320297,
210,2403,0.0778158,-0.917747,0.38253,-0.317593,
211,2404,0.0804373,-0.913378,0.383522,-0.316797,
